"site","month","year"
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
"LAGCHIMU",11,2019
